method,path,line,source
GET,/salesOrder/{param}/export/csv?storeIds={param},50872,url_config
GET,/salesOrder/{param}/order/list?storeIds={param},51736,url_config
PUT,/salesOrder/{param}/updatePriceOnPercentage?storeIds={param},45663,url_config
PATCH,/salesOrder/{param}/updatePriceWithCustomerTier?storeIds={param},45650,url_config
GET,/salesOrder/{param}/withCustomer?storeIds={param},45787,url_config
PUT,/salesOrder?storeIds={param},45580,url_config
GET,/services/pdf/cusomter/payment-reminder,249314,url_config
GET,/services/pdf/cusomter/statement,249359,url_config
GET,/services/pdf/customer/due-invoice,245548,url_config
GET,/services/pdf/customer/transaction,247916,url_config
POST,/services/pdf/email/cusomter/due-invoice,245505,url_config
POST,/services/pdf/email/cusomter/payment-reminder,249274,url_config
POST,/services/pdf/email/cusomter/statement,249246,url_config
POST,/services/pdf/email/customer/transaction,247867,url_config
POST,/services/pdf/email/payment/invoice/{param},46838,url_config
GET,/services/pdf/email/quotation/invoice/{param}?storeIdList={param}&defaultStoreId={param},46060,url_config
GET,/services/pdf/email/rma/product/invoice/{param}?storeIdList={param},48226,url_config
PUT,/services/pdf/email/rma/product/invoice/{param}?storeIdList={param},47171,url_config
POST,/services/pdf/email/sales-order/attached/invoice/{param}?storeIdList={param}&defaultStoreId={param},46816,url_config
GET,/services/pdf/email/sales-order/invoice/{param}?storeIdList={param}&defaultStoreId={param},46772,url_config
GET,/services/pdf/email/sales-order/packing-slip,61130,url_config
GET,/services/pdf/email/salesOrder/invoice/{param}?storeIdList={param}&defaultStoreId={param},45824,url_config
POST,/services/pdf/email/shipping/invoice/{param}?storeIdList={param}&defaultStoreId={param},46862,url_config
POST,/services/pdf/email/vendor/statement,253382,url_config
POST,/services/pdf/email/vendor/transaction,253571,url_config
GET,/services/pdf/expense/checkInvoice/{param},265625,url_config
GET,/services/pdf/payment/checkInvoice/{param},59272,url_config
GET,/services/pdf/payment/invoice/{param},59139,url_config
GET,/services/pdf/product/barcode,259658,url_config
GET,/services/pdf/products/details,45022,url_config
GET,/services/pdf/quotation/invoice/{param},52960,url_config
GET,/services/pdf/quotation/packing-slip/{param},52998,url_config
GET,/services/pdf/report/purchase/purchase-by-product,260067,url_config
GET,/services/pdf/reports/customer/never-ordered-products,258744,url_config
GET,/services/pdf/rma/label/{param},54729,url_config
GET,/services/pdf/rma/packing-slip/invoice/{param},54717,url_config
GET,/services/pdf/rma/product/invoice/{param},54704,url_config
GET,/services/pdf/sales-order/gate-pass,65426,url_config
GET,/services/pdf/sales-order/invoice,65260,url_config
GET,/services/pdf/sales-order/invoice-edi/{param},61213,url_config
GET,/services/pdf/sales-order/invoice/{param},60943,url_config
GET,/services/pdf/sales-order/label,65398,url_config
GET,/services/pdf/sales-order/label/{param},61060,url_config
GET,/services/pdf/sales-order/packing-slip,65319,url_config
GET,/services/pdf/sales-order/packing-slip/{param},60985,url_config
GET,/services/pdf/salesOrder/gate-pass/{param},50813,url_config
GET,/services/pdf/salesOrder/invoice/{param},50650,url_config
GET,/services/pdf/salesOrder/label/{param},50801,url_config
GET,/services/pdf/salesOrder/packing-slip-after-picking/{param},50762,url_config
GET,/services/pdf/salesOrder/packing-slip/{param},50693,url_config
GET,/services/pdf/test/testDynamicPdf,60929,url_config
GET,/services/pdf/vendor/statement,253413,url_config
GET,/services/pdf/vendor/transaction,253610,url_config
POST,/shiphero/syncSalesOrder,48587,url_config
GET,/shipping/options,47466,url_config
POST,/shipping/options,47470,direct_call
PUT,/shipping/options,47477,direct_call
PUT,/shipping/options/bulk,47491,direct_call
DELETE,/shipping/options?shippingId={param},47485,url_config
